CustomerKey,FirstName,LastName,EmailAddress,YearlyIncome,TotalChildren,Education,Occupation,GeographyKey
1,Chris,Miller,chris.miller1@email.com,121966,0,Bachelors,Management,3
2,Chris,Rodriguez,chris.rodriguez2@email.com,87511,2,High School,Management,4
3,John,Williams,john.williams3@email.com,98706,4,High School,Skilled Manual,7
4,John,Brown,john.brown4@email.com,34292,2,Graduate Degree,Clerical,4
5,John,Garcia,john.garcia5@email.com,86985,0,High School,Management,7
6,Chris,Johnson,chris.johnson6@email.com,133661,3,Bachelors,Clerical,4
7,Anna,Brown,anna.brown7@email.com,37211,3,Graduate Degree,Clerical,4
8,Jane,Brown,jane.brown8@email.com,60214,0,High School,Clerical,5
9,John,Brown,john.brown9@email.com,117177,3,Graduate Degree,Skilled Manual,6
10,Mike,Davis,mike.davis10@email.com,93630,1,Bachelors,Skilled Manual,3
11,Emily,Miller,emily.miller11@email.com,39143,3,High School,Clerical,4
12,Jane,Brown,jane.brown12@email.com,133991,1,High School,Clerical,2
13,David,Martinez,david.martinez13@email.com,82388,1,Bachelors,Clerical,7
14,Mike,Williams,mike.williams14@email.com,142953,3,Graduate Degree,Clerical,5
15,John,Williams,john.williams15@email.com,122785,1,High School,Management,9
16,Chris,Davis,chris.davis16@email.com,65203,4,High School,Clerical,3
17,Sarah,Davis,sarah.davis17@email.com,103315,2,Graduate Degree,Skilled Manual,10
18,Tom,Rodriguez,tom.rodriguez18@email.com,32382,2,High School,Professional,2
19,Mike,Smith,mike.smith19@email.com,75531,3,Graduate Degree,Clerical,3
20,John,Brown,john.brown20@email.com,143470,1,High School,Skilled Manual,1
21,Chris,Garcia,chris.garcia21@email.com,55761,0,Bachelors,Skilled Manual,7
22,David,Jones,david.jones22@email.com,118153,2,Bachelors,Skilled Manual,1
23,Tom,Rodriguez,tom.rodriguez23@email.com,101242,2,High School,Management,1
24,John,Davis,john.davis24@email.com,118715,0,Bachelors,Management,6
25,Tom,Miller,tom.miller25@email.com,108075,1,Graduate Degree,Skilled Manual,3
26,Anna,Brown,anna.brown26@email.com,80655,2,High School,Clerical,1
27,Anna,Rodriguez,anna.rodriguez27@email.com,122638,0,High School,Clerical,3
28,John,Garcia,john.garcia28@email.com,87751,3,Bachelors,Clerical,5
29,David,Williams,david.williams29@email.com,61357,0,Bachelors,Professional,3
30,Chris,Brown,chris.brown30@email.com,80001,2,Graduate Degree,Professional,3
31,John,Williams,john.williams31@email.com,31690,0,Bachelors,Management,3
32,John,Brown,john.brown32@email.com,59070,0,Bachelors,Clerical,9
33,Emily,Smith,emily.smith33@email.com,58056,0,Bachelors,Professional,8
34,Sarah,Jones,sarah.jones34@email.com,73457,1,Bachelors,Skilled Manual,7
35,Chris,Garcia,chris.garcia35@email.com,126000,1,Graduate Degree,Professional,6
36,Tom,Jones,tom.jones36@email.com,109599,4,High School,Clerical,8
